City,Country,Latitude,Longitude,Temperature (C),Cloudiness (%),Humidity (%),Wind speed (m/s),Datetime
Binzhou,CN,37.3667,118.0167,3.63,11,48,3.48,1639907161
Esso,RU,55.9333,158.7,-17.93,91,59,1.65,1639907164
Manokwari,ID,-0.8667,134.0833,27.91,59,78,3.33,1639906998
Maïné Soroa,NE,13.2114,12.0241,23.72,83,21,7.78,1639907174
Sioux Lookout,CA,50.1001,-91.917,-14.96,90,78,3.6,1639907193
Jvari,GE,42.7169,42.052,6.14,100,85,0.81,1639907195
Harper,LR,4.375,-7.7169,28.93,25,70,3.31,1639907208
Brazzaville,CG,-4.2658,15.2832,30.2,20,66,2.06,1639907211
Tautira,PF,-17.7333,-149.15,25.01,96,80,6.04,1639907214
Karachi,PK,24.9056,67.0822,24.9,2,10,2.57,1639906932
Kalmunai,LK,7.4167,81.8167,27.62,94,69,6.14,1639907223
Toyooka,JP,35.5333,134.8333,6.06,75,81,3.09,1639907242
Oranjemund,NA,-28.55,16.4333,22.06,69,59,6.16,1639907251
Monrovia,LR,6.3005,-10.7969,27.87,37,72,1.77,1639906974
La Peca,PE,-5.6111,-78.435,19.75,100,94,0.49,1639907260
Hirara,JP,24.8,125.2833,17.92,40,59,3.09,1639907262
Te Anau,NZ,-45.4167,167.7167,13.9,99,92,3.98,1639907218
Yacuiba,BO,-22.038,-63.6797,21.51,42,57,1.86,1639907277
Urusha,RU,54.05,122.9,-23.75,100,100,0.92,1639907282
Malibu,US,34.005,-118.8101,15.92,0,41,1.14,1639907286
Choix,MX,26.7092,-108.3219,13.88,4,72,1.57,1639907290
Il’inskiy,RU,55.619,38.1182,-0.62,90,93,2.0,1639907296
Malanje,AO,-9.5402,16.341,26.13,98,66,0.46,1639907302
Port Macquarie,AU,-31.4333,152.9167,25.98,97,84,6.54,1639907094
Volokolamsk,RU,56.0336,35.9694,-0.17,100,94,5.5,1639907307
Asău,RO,46.4333,26.4,5.22,99,73,4.13,1639907314
Paka,MY,4.6374,103.4368,23.96,40,94,1.54,1639907320
Tibiri,NE,13.5627,7.0485,21.19,75,26,8.75,1639907324
San Quintín,MX,30.4833,-115.95,12.16,0,50,0.55,1639907328
Arrondissement de Rennes,FR,48.1667,-1.6667,6.02,90,93,5.14,1639907183
Dunedin,NZ,-45.8742,170.5036,17.49,100,66,2.96,1639907336
Lorengau,PG,-2.0226,147.2712,28.06,100,81,5.35,1639907339
Fredericton,CA,45.9454,-66.6656,-5.53,90,87,0.89,1639907326
Makassar,ID,-5.14,119.4221,29.03,20,79,2.06,1639907355
Houston,US,29.7633,-95.3633,12.08,90,75,1.34,1639906821
Conway,US,35.0887,-92.4421,2.99,90,83,3.6,1639907250
Shingū,JP,33.7333,135.9833,9.39,14,64,4.42,1639907369
Messina,IT,38.1933,15.5497,13.82,40,47,2.68,1639907373
Havøysund,NO,70.9963,24.6622,-2.51,83,70,6.81,1639907384
Sorong,ID,-0.8833,131.25,28.52,80,74,1.91,1639907387
Culebra,PR,18.303,-65.301,26.02,17,85,4.92,1639907394
Broome,US,42.2506,-75.833,-0.46,90,77,2.24,1639907396
Bang Len,TH,14.0219,100.1718,31.1,100,47,5.76,1639907399
São Marcos,BR,-28.9711,-51.0681,18.65,3,78,2.02,1639907401
Luwuk,ID,-0.9516,122.7875,27.16,82,84,0.86,1639907405
Shimoda,JP,34.6667,138.95,5.06,2,70,12.03,1639907409
Bara,NG,10.3744,10.7288,27.13,45,23,4.56,1639907411
Leningradskiy,RU,69.3833,178.4167,-21.6,100,94,7.98,1639907414
Crestview,US,30.7621,-86.5705,19.6,75,83,1.54,1639907172
Elizabeth City,US,36.2946,-76.2511,20.0,87,90,0.89,1639907428
Pulaski,US,34.7668,-92.3001,3.16,1,81,3.58,1639907431
Innisfail,AU,-17.5333,146.0333,25.62,10,75,1.24,1639907441
Kavaratti,IN,10.5669,72.642,27.96,23,60,2.81,1639907446
São Raimundo das Mangabeiras,BR,-7.0219,-45.4811,24.86,98,85,1.46,1639907449
Isla Mujeres,MX,21.2311,-86.731,25.09,57,83,2.61,1639907453
Challans,FR,46.8436,-1.8749,5.15,5,71,5.39,1639907456
Noshiro,JP,40.2039,140.0242,-0.54,100,67,6.05,1639907459
Bayangol,RU,50.6977,103.4656,-8.05,1,50,6.44,1639907467
Brae,GB,60.3964,-1.353,3.95,50,71,5.22,1639907470
Pontianak,ID,-0.0333,109.3333,25.99,75,94,0.0,1639907476
Hagersville,CA,42.9668,-80.0497,-1.44,21,90,3.69,1639907207
Port Augusta,AU,-32.5,137.7667,21.5,65,57,9.28,1639907484
Moree,AU,-29.4667,149.85,30.01,93,37,4.63,1639907491
Limbang,MY,4.75,115.0,29.06,100,92,0.84,1639907494
Moyo,UG,3.6609,31.7247,31.4,98,30,2.85,1639907496
Galle,LK,6.0367,80.217,27.83,94,70,1.89,1639907502
Xingyi,CN,24.1877,102.817,10.23,16,76,2.01,1639907505
Lubumbashi,CD,-11.6609,27.4794,23.27,75,83,6.17,1639907511
Nemuro,JP,43.3236,145.575,-9.76,26,50,3.76,1639907517
Zaraza,VE,9.3503,-65.3245,23.33,99,87,1.66,1639907526
Soyo,AO,-6.1349,12.3689,29.03,50,72,3.04,1639907529
Ossora,RU,59.2353,163.0719,-22.43,5,83,2.4,1639907537
Nioaque,BR,-21.1353,-55.83,24.33,78,88,2.04,1639907542
Vorchdorf,AT,48.0039,13.9212,1.75,43,87,3.58,1639907552
Verkhnyaya Inta,RU,65.9811,60.3094,-24.28,39,84,4.31,1639907569
Padang,ID,-0.9492,100.3543,29.03,100,81,2.34,1639907572
Kirakira,SB,-10.4544,161.9205,25.48,100,89,1.93,1639907576
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-15.67,0,66,4.0,1639907582
Grindavik,IS,63.8424,-22.4338,8.26,90,93,8.23,1639907597
Antalaha,MG,-14.9003,50.2788,29.77,73,68,4.67,1639907599
Fendou,CN,45.2,130.9167,-15.75,88,84,2.36,1639907602
Priyutovo,RU,53.9,53.9333,-4.0,100,97,3.44,1639907617
Mandan,US,46.8267,-100.8896,-4.98,75,78,2.24,1639907619
Khunti,IN,23.0833,85.2833,19.2,0,20,3.44,1639907622
Khovd,MN,48.0056,91.6419,-8.09,81,60,1.84,1639907626
Albion,US,42.2431,-84.753,-1.12,90,86,0.0,1639907628
Udomlya,RU,57.8794,34.9925,-1.17,100,97,3.7,1639907639
Serenje,ZM,-13.2325,30.2352,22.64,100,60,2.17,1639907641
Krasnyy Chikoy,RU,50.3643,108.7512,-12.03,100,97,0.87,1639907646
Itarema,BR,-2.9248,-39.9167,28.29,99,70,6.15,1639907655
Zhezkazgan,KZ,47.8043,67.7144,-0.01,75,93,5.0,1639907661
Laguna,US,38.421,-121.4238,7.09,90,94,0.45,1639907666
Darhan,MN,49.4867,105.9228,-9.9,10,77,2.1,1639907675
North Bend,US,43.4065,-124.2243,11.08,90,99,3.6,1639907682
Krasnosel'kup,RU,65.7,82.4667,-40.92,47,99,1.39,1639907687
Saint-Augustin,CA,51.226,-58.6502,-12.0,0,66,8.2,1639907690
Kaya,BF,13.0917,-1.0844,25.95,23,12,8.69,1639907693
Andújar,ES,38.0392,-4.0508,15.04,30,66,3.35,1639907713
Ciudad Guayana,VE,8.3533,-62.6528,22.55,99,97,2.0,1639907720
Narsaq,GL,60.9167,-46.05,-0.05,100,68,6.05,1639907725
Vangaindrano,MG,-23.35,47.6,23.42,100,74,5.73,1639907733
Abbeville,FR,50.1,1.8333,5.83,85,89,4.28,1639907736
Fort Nelson,CA,58.8053,-122.7002,-30.23,40,69,1.03,1639907514
Anáhuac,MX,27.2333,-100.15,13.02,100,25,6.74,1639907742
Red Bluff,US,40.1785,-122.2358,5.34,90,100,1.54,1639907744
Ozar,IN,20.1,73.9333,25.26,0,32,1.76,1639907752
Mindelo,CV,16.8901,-24.9804,21.75,90,83,6.17,1639907761
Constitución,CL,-35.3333,-72.4167,14.51,0,63,1.64,1639907587
Paragominas,BR,-2.9667,-47.4833,23.05,100,98,0.41,1639907768
Ivanteyevka,RU,55.9711,37.9208,-0.65,100,99,2.68,1639907772
Tambacounda,SN,13.7539,-13.7586,26.03,92,22,5.14,1639907775
Nuuk,GL,64.1835,-51.7216,-3.03,100,86,4.03,1639907791
Marang,MY,5.2056,103.2059,22.95,100,90,2.3,1639907793
Benguela,AO,-12.5763,13.4055,27.56,85,70,3.95,1639907803
Sulangan,PH,11.1373,123.7228,27.74,100,80,4.45,1639907805
Wagar,SD,16.1525,36.2032,30.33,0,44,3.38,1639907818
Belaya Gora,RU,68.5333,146.4167,-44.72,85,100,0.74,1639907821
Ballina,AU,-28.8667,153.5667,26.1,42,76,6.17,1639907823
Pinhão,BR,-25.6956,-51.6597,16.88,92,78,2.98,1639907837
Dembī Dolo,ET,8.5333,34.8,26.73,96,34,2.3,1639907842
Nome,US,64.5011,-165.4064,-1.96,90,93,9.77,1639907844
Lobito,AO,-12.3481,13.5456,26.54,98,76,3.67,1639907847
Xining,CN,36.6167,101.7667,-1.96,100,40,0.92,1639907854
Lalibela,ET,12.0333,39.0333,24.24,19,32,2.61,1639907858
Coahuayana Viejo,MX,18.7333,-103.6833,21.82,100,77,1.13,1639907863
Novaya Malykla,RU,54.2,49.95,-4.3,89,92,1.92,1639907866
